Fecha,Hora Local,Magnitud,Profundidad en km,Localizacion,Origen,Reportado,Latitud,Longitud
2014-07-16,16:10:00,4.5,19,7km al Sureste de San Gerardo de Dota,Fallamiento local,Valle Central y Perez Zeledon,9.5195,-83.7533
2014-07-10,09:01:00,4,40,"14 km al noreste de Cahuita, Limon",tectonico por subduccion,"Puerto Viejo, Limon",9.8494,-82.7785
2014-07-09,20:59:00,4.6,47,"1 km al sur de Quebrada Honda, Nicoya, Guanacaste",fallamiento por subduccion,"Todo Guanacaste, Puntarenas, Alajuela, Heredia",10.1781,-85.297
2014-07-06,05:42:00,5.2,50,10 km al este de Nicoya,Deformacion interna Placa del Coco,Guanacaste y Valle Central,10.152,-85.3633
2014-06-25,05:45:00,4.5,22,24 km oeste de Herradura. Pacifico Central,Subduccion,"Puntarenas, San Pedro de Poas.",9.605,-84.874
2014-06-24,11:14:00,4.2,53,25 km sureste de Puerto Limon,Subduccion,Limon,9.954,-82.812
2014-06-24,19:57:00,3.1,20,6 km norte de Los Angeles de Perez Zeledon,Fallamiento local,Perez Zeledon,9.529,-83.821
2014-06-23,13:13:00,4.5,15,2 Km Este de Ciudad Neilly,Fallamiento local,Paso Canoas y Ciudad Neilly,8.646,-82.929
2014-06-18,09:43:00,3.6,54,10 Km Oeste de San Ignacio de Acosta,Subduccion. Deformacion interna de la Placa de Coco,"Zona de los Santos, Heredia y San Jose",9.776,-84.261
2014-06-18,10:13:00,4,14,53 Km Oeste de Playa Flamingo. Guanacaste,Subduccion,Tamarindo.,10.448,-86.269
2014-06-17,01:28:00,4.2,26,17km al SE de Tamarindo,Tectonico por subduccion,Guanacaste,10.1671,-85.7469
2014-06-16,07:26:00,5.6,20,"250 Km Nor Este de Limon, cerca a las Islas de San Andres.",Tectonico asociado al Escarpe de Hess,Limon,11.595,-81.441
2014-06-14,17:56:00,3.7,13,7 km NorOeste de Quepos,Fallamiento Local,"Quepos, Parrita y leve en el Valle Central.",9.469,-84.216
2014-06-05,23:20:00,3.3,12,8 Km Nor Este de Copey de Dota,Fallamiento local,Valle Central,9.672,-83.851
2014-05-13,00:35:00,6.8,10,"49 km Sur de Puerto Armuelles, Panama",Fractura de Panama,Zona Sur y Valle Central de Costa Rica,7.8521,-82.9157
2014-05-08,17:20:00,3.6,10,2 km al SW de Nosara,Tectonico por fallamiento local.,"Ostional, Nosara, Guiones, Garza y Samara",9.95447,-85.653
2014-05-07,19:05:00,3.5,14.8,9 km al NE de Esparza,Tectonico por fallamiento local,"Barranca, Esparza y San Ramon",10.0433,-84.6
2014-04-28,19:40:00,3.5,16,2 km Nor Este de Mansion de Nicoya,Fallamiento Local,Nicoya y Mansion,10.11,-85.358
2014-04-27,22:32:00,3.1,5,Cercanias de San Jeronimo de Esparza.,Fallamiento local,Esparza,10.04,-84.63
2014-04-25,03:27:00,4.4,15,9km al NE de Esparza de Puntarenas,Fallamiento local,Esparza y Puntarenas,10.0387,-84.5972
2014-04-19,07:36:00,5.1,30,"5 km al norte de Puerto Armuelles, Panama",fallamiento por subduccion,"Playa Zancudo, Ciudad Neilly, Agua Buena de San Vito de Java, Palmar Norte, Paso Canoas, leve en San Jose",8.3268,-82.8551
2014-04-16,07:37:00,5,8.3,"3 km al sur de Puerto Armuelles, Panama",Tectonico por fallamiento local,"Corredores y Coto Brus de Puntarenas, y en San Jose",8.2512,-82.8636
2014-04-11,14:29:00,6.3,98,"32km al NorOeste de Rivas, Nicaragua",Subduccion,"Guanacaste, Heredia, Alajuela",11.6,-86.06
2014-04-06,14:05:00,3.8,15,1 km al noroeste de Bijagual,TectÃ³nico por fallamiento local,"Zona de los Santos, San Jose",9.66,-84.19
2014-04-06,14:11:00,2.8,14,1 km al noroeste de Bijagual,TectÃ³nico por fallamiento local,Zona de los Santos,9.66,-84.19
2014-04-02,10:13:00,6.3,10,100 km Sur de David. Panama,Zona Fractura de Panama,Zona Sur y Valle Central,7.58,-82.599
2014-03-30,12:42:00,3.4,19,15 km al oeste de San Pabo de Leon Cortes.,TectÃ³nico por fallamiento local,Los Santos,9.666,-84.172
2014-03-28,08:36:00,5.2,66,17 km Oeste de Masachapa. Nicaragua.,Subduccion,Guanacaste y Valle Central,11.751,-86.681
2014-03-26,19:05:00,4,5,17 al sur de Puerto Armuelles,"Tectonico en la zona de choque de las placas del Coco, Nazca y Panama.","Laurel, Rio Claro y Golfito",8.119,-82.843
2014-03-23,06:24:00,2,1,1 Km Nor Oeste de Capellades de Alvarado. Cartago,Fallamiento Local,San Martin de Cartago,9.919,-83.794
2014-03-23,14:03:00,3,10,2 km Nor Este de San Gerardo de Dota,Fallamiento Local,Zona de los Santos,9.586,-83.777
2014-03-20,07:25:00,2.8,5,1 Nor Este de Quebradillas de Cartago,Fallamiento local,"San Pedro, Desamparados, Cartago",9.851,-83.984
2014-03-14,16:25:00,3.5,54,10 KM al SE de Santiago de Puriscal.,TectÃ³nico por deformaciÃ³n interna de la placa del Coco en su porciÃ³n subducida bajo Costa Rica.,Velle Central,9.7673,-84.2556
2014-03-10,12:01:00,4.8,45,14 km Oeste de Chomes.,Subduccion,"Guancaste, Puntarenas y leve en el Valle Central.",10.037,-85.035
2014-03-06,13:33:00,2.8,3,4 km al sur oeste de Paraiso de Cartago,Fallamiento local,"Cartago, Paraiso",9.805,-83.8938
2014-03-05,15:15:00,5.1,16,14 Km Sur Oeste de Garza. Guancaste,Subduccion,Guanacaste,9.788,-85.709
2014-03-05,16:57:00,3.8,15,a 19 km al suroeste de Nosara,tectonico por subduccion,"Nosara, Guanacaste",9.8233,-85.7235
2014-03-02,03:37:00,6.4,12,Frente a las Costas de Nicaragua,Subduccion,Valle Central y Guanacaste,12.448,-87.735
2014-03-02,19:25:00,3.3,64,Tarbaca,Subduccion,Tarbaca,9.802,-84.109
2014-03-02,14:01:00,2.3,11,2 km Este de Sacramento. Heredia,Fallamiento local,Carrizal y Sacramento,10.1,-84.11
2014-02-20,23:56:00,2.5,4,1 Km Norte de San Cristobal Sur,Fallamiento local,Cartago,9.763,-84.028
2014-02-16,13:21:00,4.6,16,17 Km Sur Sur-Oeste de Jaco,Subduccion Placa Coco por debajo del bloque de Panama,Pacifico Central y Valle Central,9.41,-84.69
2014-02-16,01:56:00,3.6,20,5 km Oeste de San Vito,Subduccion,San Vito,8.888,-83.014
2014-02-15,00:07:00,4.1,5,"10 Km norte de Rivas, Perez Zeledon",Fallamiento local,"Zona sur, Valle Central",9.5,-83.62
2014-02-12,14:38:00,4.3,19,26 km Oeste de Jaco,Subduccion,Puntarenas,9.542,-84.865
2014-02-10,23:34:00,2.2,16,3 km Sur Este de La Tigra de San Carlos.,Fallamiento Local.,La Tigra,10.322,-84.56
2014-02-07,02:25:00,3.3,16,13 km Norte de Nosara.,Subduccion,Caimital de Nicoya,10.09,-85.682
2014-02-06,06:53:00,4.3,24,18 Km Sur Este Puerto Armuelles,Zona de Fractura Panama,"Zona Sur, leve Valle Central",8.097,-82.818
2014-01-29,19:40:00,4.8,42,10.5 km NNE de Quepos,Subduccion,Valle Central,9.52,-84.13
2014-01-29,21:20:00,4.5,42,9 km Norte de quepos,Subduccion,Valle central y Buenos Aires de Puntarenas,9.51,-84.14
2014-01-27,12:35:00,3.9,18,30 km al sureste de Cobano de Puntarenas,Subduccion,"Guanacaste, Puntarenas",9.491,-84.8605
2014-01-24,20:59:00,3.9,16,8km al Este de Lepanto de Puntarenas,Subduccion,Valle Central y Guanacaste,9.9194,-84.9595
2014-01-21,20:36:20,3.1,18,"10 km sureste Santa Lucia, Puntarenas",tectonico por subduccion,"Cobano, Paquera, Montezuma, Tambor, Puntarenas",9.69,-84.91
2014-01-21,20:48:12,2.9,18,"17 sureste de Cabuya, Puntarenas",tectonico por subduccion,"Paquera, Puntarenas",9.49,-84.97
2014-01-17,11:06:00,2.8,15,7 km Sur Oeste de Santa MarÃ­a de Dota,Fallamiento Local,"Desamparados, y Zona de los Santos",9.584,-83.999
2014-01-17,15:02:00,5.3,20,30km SE de Cobano,Subduccion,"Zona Norte, Valle Central y Pacifico Central",9.51,-84.856
2014-01-10,23:10:00,3.9,77,7 km Nor Oeste de Piedades Norte de San Ramon,Subduccion,Miramar de Puntarenas,10.193,-84.544
2014-01-05,13:06:00,4.4,28,"Golfo Dulce, 14 km SW de Golfito",Tectonico por subduccion de la placa del Coco bajo la placa de Panama.,Golfito y Rio Claro.,8.5187,-83.2263
2014-01-05,00:37:00,2.9,32,7 km al NW de Playa Potrero de Guanacaste.,Tectonico por subduccion de la placa del Coco bajo la placa del Caribe.,Playa Potrero.,10.4849,-85.8339
2014-01-03,16:53:00,3.6,41,16 km al NNE de Quepos,Tectonico por subduccion.,Valle Central,9.5677,-84.1288
2015-12-31,04:57:00,5.9,45,"47 km al oeste de Cabo Santa Elena, Peninsula de Santa Elena",Subduccion,Zona Norte de Costa Rica,10.8068,-86.3796
2015-12-31,06:33:00,2.8,24,"9.4 km Noroeste de Piedras Blancas, Osa, Puntarenas, Costa Rica",Fallamiento local,"Piedras Blancas , Golfito",8.86,-83.27
2015-12-29,16:05:00,3.9,10,"2.3 km Suroeste de Puerto Jimenez, Golfito, Puntarenas, Costa Rica",Fallamiento local,"Puerto Jimenez , Golfito , Puntarenas , Costa Rica",8.52,-83.32
2015-12-25,23:26:00,3,16,1 km Este de Los Ãngeles de la Fortuna de San Carlos,Fallamiento Local,"San Rafael de Alajuela, Chachagua, Ciudad Quesada, La Fortuna y Los Ãngeles de La Fortuna",10.455,-84.548
2015-12-24,19:34:00,2.2,3,2.5 SE del CrÃ¡ter del VolcÃ¡n IrazÃº,Fallamiento Local,Leve en IrazÃº Sur,9.9734,-83.8274
2015-12-21,01:16:00,3.3,15,1.5 km al este de Venado de San Carlos,TectÃ³nico por fallamiento local,"Venado, Fortuna, Ciudad Quesada",10.5491,-84.7351
2015-12-20,18:49:00,4.4,42,"15 km suroeste de JacÃ³, Puntarenas",DeformaciÃ³n interna de la porciÃ³n subducida de la placa del Coco,"JacÃ³, Herradura, Puntarenas, Valle Central",9.5583,-84.7742
2015-12-16,15:02:00,3.5,16,San Marcos de TarrazÃº,TectÃ³nico por falla local,"San Pablo LeÃ³n CortÃ©s, Coronado, Ciudad ColÃ³n, ParaÃ­so, Turrialba",9.6678,-84.0205
2015-12-11,14:56:00,3.3,7,1 km Sur de la Iglesia de San Isidro de Heredia,Fallamiento Local,"Heredia, San Isidro, EscazÃº, Goicoechea, Coronado, San Pedro",10.006,-84.05
2015-12-09,18:03:00,4.9,20,4 km Sur Oeste de Nosara,Subduccion,"Fuerte en Guanacaste, leve en Valle Central",9.951,-85.66
2015-12-09,18:04:00,3,16,2 km  Sur de Nosara,Subduccion,Nosara,9.968,-85.639
2015-12-09,18:21:00,3.3,17,2 km Sur de Nosara,Subduccion,Nosara y Garza,9.966,-85.638
2015-12-08,15:04:00,2,5,1.7 km Norte del Parque de San Rafael de Oreamuno. Cartago,Fallamiento Local,San Rafael de Oreamuno. Cartago.,9.885,-83.905
2015-12-04,10:12:00,3,7,4 km al noroeste del crater del volcan tenorio,Fallamiento local,Bijagua,10.708,-85.0314
2015-12-04,13:37:59,1.8,3.1,Cot de Cartago,Fallamiento Local,Cartago Centro,9.8904,-83.8785
2015-12-03,08:04:00,2.8,4,1 km Sur Oeste de Cot de Cartago.,Fallamiento Local,"San Rafael de Oreamuno, Cot, Llano Grande, Cartago.",9.884,-83.882
2015-12-02,19:59:00,3.4,23,9km al sur oeste de playa tamarindo,Subduccion,Guanacaste,10.2783,-85.9138
2015-11-28,17:47:00,4.8,36,"50 km al oeste de Tamarindo, Guanacaste",deformacion de la placa oceanica del Coco,"Playas del Coco, Sardinal, Huacas, Playa Potrero, Cartagena, Papagayo, Brasilito, Nosara, Guanacaste.",10.3154,-86.2872
2015-11-25,10:50:00,3.5,8,11 km Nor Este de Parrita,Fallamiento Local,Parrita,9.591,-84.244
2015-11-24,00:59:00,4.1,38,"1.8 km noreste de Brasilito, Santa Cruz, Guanacaste",Interface entre placas Caribe-Cocos,"Huacas, Playa Grande, Tamarindo, BelÃ©n de Carrillo, Nicoya, Playas del Coco,",10.4139,-85.7773
2015-11-23,20:27:00,4,60,"7.5 km al noreste de Piedras Blancas, Osa, Puntarenas",Deformacion de la placa del Coco,"San Isidro del General, Buenos Aires de Puntarenas",8.8187,-83.1805
2015-11-21,17:58:00,5,5,38km al SO de Playa Uvita,Intraplaca,"Valle Central, Zona Sur",8.8177,-83.8976
2015-11-20,12:58:00,3.7,82,5km al N de Naranjo,Intraplaca Coco,"Esparza, Naranjo",10.1398,-84.3762
2015-11-17,19:58:00,2.3,7,Jaco centro,Fallamiento local,San Jose,9.6162,-84.6338
2015-11-11,06:08:00,5.7,20,68km al SO de Playa Samara,Subduccion,"Fuerte Nicoya, leve Valle Central",9.496,-85.88
2015-11-02,04:23:00,4.6,30,18 km Sur Este de Laurel de Corredores,Zona de Fractura de Panama,"Laurel, Zona Sur y leve en el Valle Central",8.298,-82.82
2015-10-31,09:10:00,4.7,11,19 km Sur de Horquetas.,Fallamiento Local,Valle Central,10.156,-83.99
2015-10-31,09:17:00,2.7,7,17 km sur de Horquetas,Fallamiento Local,San Isidro de Heredia,10.173,-83.977
2015-10-31,09:20:00,3.5,11,15 km Sur de Horquetas,Fallamiento Local,Valle Central,10.184,-83.963
2015-10-31,09:22:00,2.4,4,19 km Sur de Horquetas.,Fallamiento Local,San Isidro de Heredia y Horquetas,10.167,-83.976
2015-10-31,09:24:00,1.9,7,12 km sur de Horquetas,Fallamiento Local,Horquetas,10.215,-83.94
2015-10-27,04:34:00,2.7,13,13 km al O de San Rafael de Guatuso,Fallamiento Local,Nuevo Arenal,10.638,-84.943
2015-10-26,05:46:00,3.6,38,"3km SO de Isla de Chira, Golfo de Nicoya",Deformacion interna Placa Coco,Nicoya Curime,10.056,-85.179
2015-10-22,23:14:00,4,8,5 km Nor Oeste de Bribri. Talamanca,Fallamiento Local,"Bribri, Cahuita, Limon",9.65,-82.887
2015-10-15,05:14:00,2.4,17,8 km Sur Este de Santa Maria de Dota,Fallamiento Local,Zona de Los Santos,9.603,-83.913
2015-10-15,23:06:00,1.6,4,4 km Sur Oeste de Finca La Central. Volcan Turrialba,Fallamiento Local,Santa Cruz,9.977,-83.805
2015-10-08,05:24:00,3.6,26,5 km Nor Oeste de Laurel de Corredores,Subduccion,Zona Sur,8.46,-82.946
2015-10-06,00:50:00,2.5,5,"3.4 Kms Sureste de Pacayas , Cartago",Fallamiento local,"Pacayas , Oreamuno , Cartago",9.91,-83.84
2015-10-04,12:55:00,2.3,1,"Cot, Oreamuno, Cartago",Fallamiento Local,"San rafael, Cot y Tierra Blanca; Cartago",9.894,-83.871
2015-10-04,13:08:00,1.5,3.2,"Cot, Oreamuno, Cartago",Fallamiento Local,"San Rafael, Cot y Tierra Blanca; Cartago",9.903,-83.873
2015-10-04,14:00:58,1.6,3.5,"1 km Norte de Cot de Oreamuno, Cartago",Fallamiento Local,"San Rafael, Cot y Tierra Blanca; Cartago",9.905,-83.874
2015-10-02,04:41:00,2.9,14,4.4 km OSO de Santiago de Puriscal,Fallamiento Local,"Cerbatana, Barbacoas, Desamparaditos de Puriscal, Llano Grande de Mora, Ciudad Colon",9.845,-84.356
2015-10-02,04:23:00,2.3,4,5 km OSO de Santiago de Puriscal,Fallamiento Local,Leve en Santiago de Puriscal,9.844,-84.366
2015-10-02,04:06:00,2.6,2,8 km ONO de Santiago de Puriscal,Fallamiento Local,"Leve en Desamparaditos, Barbacoa y Santiago de Puriscal",9.863,-84.385
2015-10-02,19:09:00,2.9,11,"10.4 km Oeste de Malpais, Cobano, Puntarenas",Fallamiento Local,Manzanilo de Cobano,9.589,-85.228
2015-10-02,19:19:56,2.5,11.6,"9.7 km Oeste de Malpais, Cobano, Puntarenas",Fallamiento Local,Manzanilo de Cobano,9.597,-85.222
2015-10-01,11:51:00,4.9,50,2 km Este de Naranjito de Quepos,Fallamiento interno de la placa de Coco,Muy fuerte en el Valle Central,9.482,-84.053
2015-09-30,14:41:00,3.8,16,37 km al Noroeste de Cabo Velas de Guanacaste,subduccion,Nicoya,10.404,-86.177
2015-09-30,19:47:00,2.1,100,"7.8 km NNO de Bajos del Toro, Valverde Vega",Intraplaca Coco,Sentido leve en Edificios altos de San Jose,10.284,-84.302
2015-09-29,22:43:00,4.5,26,"50 km SO de Jaco, Puntarenas",Subduccion,Fuerte en Cobano y Leve Valle central,9.233,-84.872
2015-09-26,08:45:00,4.6,19,17 km Este de Turrialba,Fallamiento Local,"Valle Central, Limon",9.909,-83.527
2015-09-22,09:06:00,4.8,28,90 km Sur Oeste de Cabo Blanco,Subduccion,Valle Central,9.145,-85.818
2015-09-18,21:05:00,4.9,30,10 km Nor Este de Puerto Armuelles. Panama,Zona de Fractura de Panama,Zona Sur,8.335,-82.787
2015-09-16,23:51:00,4,50,8 km Oeste de San Juan del Sur. Nicaragua,subduccion,"Sardinal, La Cruz",11.226,-85.93
2015-09-14,05:16:00,4.9,23,35 km Sur  Oeste de Pavones. Golfito,Falla Interna en la Placa de Coco,Sur del pais,8.13,-83.336
2015-09-04,08:37:50,2.8,11.6,1.4 km al noreste de Salitral,fallamiento local,"Santa Ana, Escazu, Mora, Pavas, Desamparados, Tarbaca, Heredia, Alajuelita",9.9167,-84.169
2015-09-03,07:20:00,3,16,11 km al Sur Oeste de Horquetas de Sarapiqui,Fallamiento Local,Horquetas y Rio Frio,10.231,-84.002
2015-09-03,07:36:00,3,16,11 km al Sur Oeste de Horquetas de Sarapiqui,Fallamiento Local,Horquetas y Rio Frio,10.24,-83.983
2015-08-29,09:31:00,5,24,"45 km al sur de Puerto Jimenez, Zona Sur",Subduccion,Zona Sur y Valle Central,8.11,-83.34
2015-08-29,06:43:00,3.3,10,"8.8 Km Sureste de Cerro de la Muerte , San Isidro del General , San Jose , Costa Rica",Fallamiento local,"Tejar del Guarco , Cartago",9.48,-83.73
2015-08-26,23:35:00,2.7,5,6 km Nor Oeste de Santiago de Puriscal,Fallamiento Local,"Puriscal, Escazu",9.889,-84.347
2015-08-25,04:03:00,4.2,45,15 Km Nor Este de Quepos.,Subduccion,Valle Central,9.546,-84.106
2015-08-09,18:33:00,4,34,12 km Oeste de San Lorenzo. Tarrazu,Intraplaca,Valle Central,9.562,-84.139
2015-08-07,17:33:00,3.5,30,10 km Este Nicoya,Subduccion,Nicoya y cercanias,10.154,-85.347
2015-08-01,06:47:00,4.1,16,5 km al sur este de San Gerardo de Dota,Fallamiento local,San Isidro del General y Valle Central,9.5239,-83.7653
2015-07-26,17:40:00,3.7,50,"8 km al este de Savegre, Puntarenas",SubducciÃ³n de la placa del Coco,"Dota, Cartago, Desamparados, San Jose centro",9.3406,-83.8373
2015-07-25,22:29:00,2.9,2.5,"3.5 km al norte de San Juan de Chicua, Cartago",fallamiento local,"Oreamuno, Llano Grande, Taras, Tierra Blanca, Cartago centro",9.9818,-83.8674
2015-07-25,05:32:00,2.7,30,"4.6 km al suroeste de Lajas Hojancha, Guanacaste",fallamiento en la interfase Cocos-Caribe,"Tamarindo y Punta Islita, Guanacaste",9.9699,-85.4826
2015-07-23,03:05:00,2.8,8,10 km Nor Este de San Isidro de Heredia,Fallamiento Local,Heredia,10.09,-84.013
2015-07-18,00:19:41,1.9,1,0.3 Km al Noreste de Potrero Cerrado de Cartago,Fallamiento local,"Potrero Cerrado , San Juan de Chicua , Cartago",9.9491,-83.8619
2015-07-18,00:14:49,3.2,3,"2 Km al Norette de Tierra Blanca , Cartago",Fallamiento local,"Llano Grande , Cot de Oreamuno , Cartago",9.9658,-83.8642
2015-07-18,00:17:18,3.1,2,1.2 Km al Noreste de Tierra Blanca de Cartago,Fallamiento local,Llano Grande de Cartago,9.9586,-83.8691
2015-07-18,00:11:22,1.8,3,2.2 Km al Noreste de Potrero Cerrado de Cartago,Fallamiento local,"Cot de Oreamuno , Cervantes de Alvarado , Cartago",9.9661,-83.8561
2015-07-17,23:45:16,2.6,1,1.9 Km al Noreste de Potrero Cerrado de Cartago,Fallamiento local,Potrero Cerrado,9.9636,83.8575
2015-07-17,23:50:20,2,1,"1.1 Km al Norte de Santa Rosa , Cartago",Fallamiento local,"Santa Rosa , Oreamuno",9.9514,-83.8524
2015-07-17,23:47:24,3.2,2,1.1 Km al Norte de Potrero Cerrado de Cartago,Fallamiento local,"Potrero Cerrado , San Juan de Chicua , Cartago",9.9568,-83.8631
2015-07-17,00:00:23,1.8,1,1 Km al Noreste de Potrero Cerrado de Cartago,Fallamiento local,"Potrero Cerrado , San Juan de Chicua , Cartago",9.9556,-83.86
2015-07-13,16:03:00,3,10,10 km al norte de San Isidro de Heredia,Fallamiento local,Valle Central,10.0977,-84.0179
2015-07-11,00:32:59,3.2,10,"1.8 Km Sureste de Pavon , Puntarenas",Fallamiento Local,"Pavones , Rio Claro , Golfito",8.4821,-83.1011
2015-07-11,01:54:50,3.5,2,"12 Km Sureste de Golfito , Puntarenas",Fallamiento Local,"Golfito , Puerto Jimenez",8.4884,-83.1117
2015-07-11,13:17:00,5,5,"9 Km Norte de pavones , Golfito , Puntarenas",Fallamiento Local,"Rio Claro , Ciudad Neily",8.48,-83.13
2015-07-10,05:46:07,5,16.44,4.2 km al Oeste de Pavon de Puntarenas,Fallamiento local,"Rio Claro , Ciudad Neily , Golfito , Pavones",8.467,-83.1306
2015-07-10,09:27:00,3.4,13,"2 Km al Noroeste de Pavones , Golfito , Puntarenas",Fallamiento local,"Rio Claro , Golfito",8.41,-83.14
2015-07-10,10:25:42,3.7,13,"1.8  Km Oeste de Pavon ,  Puntarenas",Fallamiento local,"Rio Claro , Ciudad Neily , Golfito , Pavones",8.4815,-83.0994
2015-07-10,22:26:57,2.6,17,"2.8 Km al Noroeste de Golfito , Puntarenas",Fallamiento Local,"Golfito , Rio Claro",8.6044,-83.1805
2015-07-09,08:47:14,3.6,40,1 Km Noroeste de Parrita de Puntarenas,Subduccion,Parrita,9.5638,-84.231
2015-07-09,00:30:00,2.4,10,"5 Km Suroeste San Marcos de Tarrazu , San Jose",Fallamiento local,San Marcos de Tarrazu,9.63,-84.06
2015-07-08,00:48:23,2.5,11,4 km NorOeste de la Fortuna de Bagaces.,Fallamiento local,Fortuna de Bagaces,10.71,-85.23
2015-07-05,10:52:00,4,15,6 km al sur de San Vito de Coto Brus,Fallamiento local,Zona sur,8.77,-82.97
2015-07-04,10:34:00,3.7,16,5 Km este de Nosara,Tectonico por subduccion de la placa del Coco por debajo de la placa Caribe,Peninsula de Nicoya,9.981,-85.598
2015-06-30,14:02:00,4.1,14,2 km Sur Este de Nosara,Subduccion,"Nosara, Samara, Nicoya, Villarreal",9.973,-85.635
2015-06-28,23:15:00,3.5,29,14 km Sur Este de Paquera,Subduccion,Paquera y Jaco,9.75,-84.81
2015-06-27,19:08:00,3,4,14 km Sur de Pejibaye de Turrialba,Fallamiento Local,"La Suiza, Turrialba, Cartago, Orosi",9.684,-83.728
2015-06-25,01:10:00,3,20,18 km Nor Oeste de Jaco,Subduccion,"Jaco, Cobano",9.618,-84.839
2015-06-25,00:43:00,3.9,36,13 km Nor Este de Quepos,Subduccion,Quepos,9.549,-84.152
2015-06-24,20:53:00,4.9,20,8 km Este de Puerto Armuelles,Zona de fractura de Panama,Zona Sur,8.305,-82.823
2015-06-24,22:43:00,3.6,32,7 km Este de Limon,Tectonico. Placas Caribe y Bloque de Panama,Limon,9.978,-82.98
2015-06-24,23:27:00,3.3,22,18 km Nor Oeste de Jaco,Subduccion,"Cobano, Jaco",9.634,-84.815
2015-06-24,23:33:00,4,22,18 km Sur Oeste de Jaco,Subduccion,Jaco y Cobano,9.618,-84.794
2015-06-24,23:52:00,2.7,26,18 km Nor Oeste de Jaco,Subduccion,"Jaco, Cobano",9.631,-84.828
2015-06-22,12:47:00,3.2,4,4 km Sur de Corralillo. Cartago,Fallamiento Local,"Cartago, Zona de Los Santos, San Jose.",9.762,-84.028
2015-06-22,19:25:00,2.3,4,8 km Norte de San Pablo de Leon Cortes,Fallamiento Local,"Cartago, Zona de los Santos",9.756,-84.04
2015-06-21,01:27:00,5.3,23,10 km Norte de Moin. Limon,tectonico,Limon y Valle Central,10.097,-83.114
2015-06-17,01:24:00,2.4,3,4 km Este de LLano Grande,Fallamiento Local,Llano Grande y Taras,9.94,-83.875
2015-06-12,13:40:00,4,30,10 km Nor Este de Samara,Subduccion,"Samara, Carrillo, Hojancha, Jicaral,",9.958,-85.503
2015-06-11,12:44:00,4.4,17,"5 km al sur de Siquirres, Limon",fallamiento local,"Limon centro, Matina, Siquirres, Guapiles, Cartago, Buenos Aires de Puntarenas",10.0542,-83.5135
2015-06-05,20:49:00,4,4,30 km Sur de Puerto Armuelles.,Zona de fractura de Panama,Punta Banco,8.032,-82.88
2015-06-04,14:50:00,2.5,6,6 km Nor Este de Zarcero,Fallamiento Local,Zarcero,10.235,-84.381
2015-05-30,07:41:00,4.3,66,27 km Este de Cahuita,Zona de colision placa Caribe - Placa de Panama,Limon,9.743,-82.556
2015-05-25,17:49:27,4.5,31,27 km Suroeste de Parrita,Subduccion,Pacifico Central y Valle Central,9.3129,-84.4533
2015-05-25,20:19:38,3.1,1,"2 km NO de San Juan de Chicua, Cartago",Fallamiento Local,"Potrero Cerrado, Oreamuno",9.9658,-83.8799
2015-05-25,20:39:00,2.4,4,4 km Este de LLano Grande,Fallamiento Local,Llano Grande,9.963,-83.88
2015-05-25,20:50:28,4,3.5,"2 km NO de San Juan de Chicua, Cartago",Fallamiento Local,Valle Central,9.9569,-83.8826
2015-05-22,02:50:00,3.5,20,12 km Sur Este de Playa Montezuma,Intraplaca,Cobano,9.633,-84.961
2015-05-18,21:00:00,2.1,2,5 km Sur de Tobosi,Fallamiento Local,Tobosi y el Guarco,9.791,-83.977
2015-05-17,09:12:00,2,1,4 km Sur Volcan Irazu,Fallamiento Local,Pacayas,9.953,-83.836
2015-05-16,10:11:00,2.8,10,5 km Sur Este de San Lorenzo. Zona de Los Santos,Fallamiento Local,San Lorenzo,9.576,-83.996
2015-05-15,00:12:00,3.5,18,10 km Nor Oeste de Malpais,Subduccion,"Cobano, Malpais",9.634,-85.222
2015-05-12,23:39:00,2.3,4,3 km Norte de Corralillo. Cartago,Fallamiento Local,Corralillo,9.823,-84.048
2015-05-07,15:26:00,2,5,3 km Sur del Volcan Irazu,Fallamiento Local,Pacayas,9.95,-83.837
2015-05-06,09:30:00,4.1,33,6 km Sur Este de Puerto Armuelles,Zona de fractura de Panama,Zona Sur,8.263,-82.816
2015-05-06,13:24:00,2,3,3 km Oeste de Orosi. Cartago,Fallamiento Local,Orosi,9.787,-83.881
2015-05-05,21:57:00,4,22,6 km Sur Este de Garza,Subduccion,"La Cruz, Samara.",9.861,-85.62
2015-05-03,23:56:07,4,50,"6 km al sur de Dominicalito, Puntarenas",deformacion de la placa del Coco,"leve en Puntarenas, San Jose, Cartago, Heredia y Alajuela",9.1844,-83.8583
2015-05-01,08:00:47,3.8,30,"10 km al norte de Quepos, Puntarenas",interface placa del Coco y microplaca Panama,"sentido leve en Heredia, Alajuela y Cartago",9.5238,-84.1539
2015-04-28,01:33:23,5,76,16.5 km al norte de Miramar de Puntarenas,subduccion de la placa del Coco,Todas las provincias excepto Limon,10.2294,-84.7056
2015-04-26,23:39:00,3.2,11,10 km Sur de la Suiza de Turrialba,Fallamiento Local,"La Suiza, Turrialba",9.756,-83.585
2015-04-25,14:37:00,5.1,19,"47 km al suroeste de Puerto Jimenez, Puntarenas",subduccion de la placa del coco bajo la microplaca de Panama,"Todas las provincias, excepto en Guanacaste",8.1502,-83.4813
2015-04-18,17:33:00,5,57,8.6 km sur de San Marcos de Tarrazu,Subduccion,Valle Central y Pacifico Central,9.5899,-84.0389
